"","Estimate","StdErr","nLetters.WD_obs","nLetters.WD_fix","RRT.Pred","RRT.Pred.StdErr"
"CE0_1",22.34,11.01,5.94,6.26,40.54,10.99
"C1_1",-10.88,14.53,5.82,6.26,29.66,10.08
"C2_1",-9.55,14.53,5.84,6.26,30.98,10.08
"C3_1",-11.13,14.54,5.82,6.26,29.41,10.09
"C4_1",-12.14,14.54,5.74,6.26,28.4,10.09
"C5_1",-11.04,14.53,5.83,6.26,29.5,10.08
"C6_1",-32.59,18.43,6.01,6.26,7.95,15.01
"C7_1",-15.57,18.43,6.02,6.26,24.97,15.01
"E1_1",-10.68,14.54,5.81,6.26,29.86,10.09
"E2_1",-9.96,14.54,5.96,6.26,30.58,10.09
"E3_1",-12.62,14.71,5.88,6.26,27.92,10.33
"E4_1",-12.56,14.53,5.84,6.26,27.98,10.08
"E5_1",-13.78,14.54,5.86,6.26,26.76,10.08
"E6_1",-10.9,14.02,5.8,6.26,29.64,9.26
"E7_1",-10.66,13.93,5.89,6.26,29.87,9.12
"CE0_2",4.19,11.04,5.98,6.26,44.73,11
"C1_2",-9.23,14.53,5.97,6.26,31.31,10.08
"C2_2",-6,14.53,5.98,6.26,34.54,10.08
"C3_2",-6.75,14.54,5.96,6.26,33.79,10.09
"C4_2",-9.71,14.54,5.97,6.26,30.83,10.09
"C5_2",-2.91,14.53,5.97,6.26,37.63,10.08
"C6_2",-20.46,18.45,6.58,6.26,20.08,15.03
"C7_2",-6.95,18.45,6.58,6.26,33.59,15.03
"E1_2",-3.17,14.54,5.96,6.26,37.36,10.09
"E2_2",-4.03,14.55,6,6.26,36.5,10.1
"E3_2",-5.42,14.71,5.94,6.26,35.12,10.34
"E4_2",-5.74,14.53,5.99,6.26,34.8,10.08
"E5_2",-8.09,14.54,6,6.26,32.45,10.09
"E6_2",-2.68,14.02,6.1,6.26,37.86,9.26
"E7_2",-4.39,13.93,6.11,6.26,36.15,9.13
"C1_3",73.31,14.53,5.71,6.26,113.84,10.08
"C2_3",71.85,14.53,5.73,6.26,112.39,10.08
"C3_3",80.69,14.54,5.72,6.26,121.23,10.09
"C4_3",82.96,14.54,5.53,6.26,123.49,10.11
"C5_3",90.16,14.53,5.74,6.26,130.7,10.08
"C6_3",69.61,18.44,5.54,6.26,110.15,15.03
"C7_3",102.38,18.43,5.52,6.26,142.92,15.03
