"","Estimate","StdErr","nLetters.WD_obs","nLetters.WD_fix","TRT.Pred","TRT.Pred.StdErr"
"CE0_1",284.03,12.34,5.94,6.26,295.26,12.33
"C1_1",-13.71,15.68,5.82,6.26,281.55,11.2
"C2_1",-27.3,15.68,5.84,6.26,267.96,11.2
"C3_1",-15.82,15.68,5.82,6.26,279.44,11.2
"C4_1",-16.42,15.68,5.74,6.26,278.84,11.21
"C5_1",-13.51,15.68,5.83,6.26,281.75,11.2
"C6_1",-25.65,19.26,6.01,6.26,269.62,15.64
"C7_1",-6.35,19.26,6.02,6.26,288.91,15.64
"E1_1",-22.47,15.68,5.81,6.26,272.79,11.2
"E2_1",-17.03,15.69,5.96,6.26,278.23,11.21
"E3_1",-8.41,15.84,5.88,6.26,286.85,11.42
"E4_1",-22.39,15.68,5.84,6.26,272.87,11.19
"E5_1",-16.26,15.68,5.86,6.26,279,11.2
"E6_1",-14.34,15.23,5.8,6.26,280.92,10.49
"E7_1",-3.86,15.15,5.89,6.26,291.4,10.38
"CE0_2",0.88,10.78,5.98,6.26,296.14,12.33
"C1_2",-11.35,15.68,5.97,6.26,283.92,11.2
"C2_2",-17.07,15.68,5.98,6.26,278.19,11.2
"C3_2",-12.96,15.68,5.96,6.26,282.3,11.21
"C4_2",-15.59,15.68,5.97,6.26,279.67,11.2
"C5_2",-3.47,15.68,5.97,6.26,291.79,11.2
"C6_2",-21.54,19.28,6.58,6.26,273.72,15.66
"C7_2",-1.1,19.28,6.58,6.26,294.16,15.66
"E1_2",-13.72,15.68,5.96,6.26,281.55,11.21
"E2_2",-8.44,15.69,6,6.26,286.82,11.21
"E3_2",-5.56,15.84,5.94,6.26,289.7,11.42
"E4_2",-16.72,15.68,5.99,6.26,278.54,11.2
"E5_2",-14.35,15.68,6,6.26,280.92,11.2
"E6_2",-6.18,15.23,6.1,6.26,289.08,10.49
"E7_2",-10.3,15.16,6.11,6.26,284.96,10.38
"C1_3",-14.08,15.68,5.71,6.26,281.18,11.2
"C2_3",-37.43,15.68,5.73,6.26,257.83,11.2
"C3_3",-15.05,15.69,5.72,6.26,280.21,11.21
"C4_3",-13.4,15.69,5.53,6.26,281.87,11.22
"C5_3",-22.01,15.68,5.74,6.26,273.25,11.2
"C6_3",-25.1,19.27,5.54,6.26,270.16,15.65
"C7_3",-6.91,19.27,5.52,6.26,288.35,15.66
"E1_3",-30.48,15.69,5.69,6.26,264.78,11.21
"E2_3",-24.8,15.69,5.99,6.26,270.46,11.21
"E3_3",-9.49,15.84,5.89,6.26,285.77,11.42
"E4_3",-27,15.68,5.73,6.26,268.27,11.2
"E5_3",-16.53,15.68,5.76,6.26,278.74,11.21
"E6_3",-20.23,15.24,5.53,6.26,275.03,10.51
"E7_3",3.47,15.16,5.72,6.26,298.73,10.38
"CE0_4",148.4,12,10.22,6.26,443.67,13.39
"C1_4",128.39,16.53,10.22,6.26,423.65,12.33
"C2_4",107.61,16.53,10.21,6.26,402.87,12.33
"C3_4",121.15,16.55,10.27,6.26,416.42,12.36
"C4_4",90.7,16.54,10.23,6.26,385.96,12.34
"C5_4",134.66,16.53,10.22,6.26,429.93,12.33
"C6_4",121,19.9,10,6.26,416.26,16.4
"C7_4",175.9,19.9,10,6.26,471.17,16.4
"E1_4",134.96,16.54,10.2,6.26,430.22,12.34
"E2_4",132.82,16.54,10.23,6.26,428.09,12.35
"E3_4",120.52,16.66,10,6.26,415.78,12.5
"E4_4",122.31,16.53,10.24,6.26,417.57,12.34
"E5_4",133.74,16.54,10.24,6.26,429.01,12.35
"E6_4",136.64,16.09,10.17,6.26,431.9,11.67
"E7_4",132.68,16.05,10.34,6.26,427.95,11.62
"CE0_5",-10.16,10.82,5.32,6.26,285.1,12.39
"C1_5",-19.59,15.71,5.3,6.26,275.67,11.27
"C2_5",-23.95,15.71,5.31,6.26,271.32,11.27
"C3_5",-24.6,15.72,5.29,6.26,270.67,11.28
"C4_5",-23.02,15.71,5.31,6.26,272.24,11.27
"C5_5",-19.71,15.71,5.32,6.26,275.55,11.26
"C6_5",-34.02,19.27,5.79,6.26,261.24,15.67
"C7_5",-16.33,19.27,5.79,6.26,278.93,15.67
"E1_5",-22.34,15.71,5.29,6.26,272.93,11.27
"E2_5",-13.35,15.72,5.34,6.26,281.91,11.28
"E3_5",-14.42,15.87,5.31,6.26,280.84,11.49
"E4_5",-21.78,15.71,5.33,6.26,273.48,11.27
"E5_5",-27.13,15.71,5.34,6.26,268.13,11.27
"E6_5",-16.01,15.26,5.41,6.26,279.25,10.55
"E7_5",-13.56,15.18,5.39,6.26,281.7,10.44
"C1_6",-33.44,15.83,4,6.26,261.83,11.48
"C2_6",-22.35,15.72,5.08,6.26,272.91,11.28
"C3_6",1.51,15.91,5.02,6.26,296.78,11.56
"C4_6",5.17,15.84,4.08,6.26,300.43,11.5
"C5_6",1.19,15.72,4.99,6.26,296.45,11.29
"C6_6",73.17,19.3,5.12,6.26,368.44,15.7
"C7_6",99.75,19.36,5.12,6.26,395.01,15.8
"E1_6",-44.59,15.84,4,6.26,250.68,11.49
"E2_6",-18.04,15.69,6.05,6.26,277.23,11.21
"E3_6",7.98,15.7,5.89,6.26,303.24,11.23
"E4_6",-1.84,15.73,4.93,6.26,293.43,11.3
"E5_6",-10.41,15.72,5.16,6.26,284.85,11.29
"E6_6",18.28,15.36,4.36,6.26,313.54,10.74
"E7_6",74.61,15.19,5,6.26,369.87,10.47
"CE0_7",3.37,10.77,5.99,6.26,298.64,12.32
"C1_7",-8.38,15.68,6,6.26,286.88,11.19
"C2_7",-39.36,15.68,5.99,6.26,255.91,11.19
"C3_7",-18.13,15.68,5.97,6.26,277.14,11.2
"C4_7",-15.58,15.68,6.02,6.26,279.68,11.2
"C5_7",-27.54,15.68,6,6.26,267.72,11.19
"C6_7",-49.93,19.27,5.62,6.26,245.33,15.65
"C7_7",-33.41,19.27,5.62,6.26,261.85,15.65
"E1_7",-25.8,15.68,5.97,6.26,269.47,11.2
"E2_7",-25.8,15.69,6,6.26,269.46,11.21
"E3_7",-12.34,15.84,5.86,6.26,282.92,11.42
"E4_7",-31.43,15.68,6.01,6.26,263.83,11.19
"E5_7",-15.92,15.68,5.99,6.26,279.35,11.2
"E6_7",-28.15,15.23,5.9,6.26,267.11,10.49
"E7_7",-13.49,15.15,5.98,6.26,281.77,10.38
"C1_8",-11.79,15.68,5.93,6.26,283.47,11.19
"C2_8",-27.34,15.68,5.93,6.26,267.92,11.19
"C3_8",-16.82,15.68,5.92,6.26,278.45,11.2
"C4_8",-17.8,15.68,5.94,6.26,277.47,11.2
"C5_8",-14.68,15.68,5.94,6.26,280.58,11.19
"C6_8",-35.9,19.26,6.11,6.26,259.37,15.64
"C7_8",-17.9,19.26,6.11,6.26,277.36,15.64
"E1_8",-20.47,15.68,5.92,6.26,274.79,11.2
"E2_8",-16.59,15.69,5.95,6.26,278.68,11.21
"E3_8",-8.79,15.84,5.86,6.26,286.48,11.42
"E4_8",-23.36,15.68,5.95,6.26,271.9,11.19
"E5_8",-15.95,15.68,5.95,6.26,279.31,11.2
"E6_8",-17.07,15.23,5.97,6.26,278.19,10.48
"E7_8",-11.88,15.15,6,6.26,283.38,10.37
